problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_interations; nb_linear_nonzeros; status; time; has_hit_limit 
ID003_M015_J020; manne; 15; 20; True; 1067.0376782077442; 1340.9999999999998; 0.20429703340211422; 6000; 3151; 1730; 118455735; 17700; time limit exceeded; 3601.1353809833527; True;  
ID003_M015_J020; minla_fav; 15; 20; True; 1005.8401953414534; 11735.0; 0.9142871584711082; 120580; 54451; 17400; 52488; 565760; time limit exceeded; 3600.0565729141235; True;  
ID003_M015_J020; manne; 15; 20; False; nan; 990.0; nan; 6000; 3151; 1976; 1975; 17700; optimal; 0.03911113739013672; False;  
ID003_M015_J020; minla_fav; 15; 20; False; nan; 1004.13574222139; nan; 120580; 54451; 25022; 261997; 565760; optimal; 386.99378514289856; False;  
ID004_M015_J020; manne; 15; 20; True; 1076.5352480417775; 1411.0000000000032; 0.2370409298073715; 6000; 3151; 1560; 96034570; 17700; time limit exceeded; 3600.0123479366302; True;  
ID004_M015_J020; minla_fav; 15; 20; True; 1053.316694638056; 11177.0; 0.9057603386742287; 120580; 54451; 20250; 999860; 565760; time limit exceeded; 3600.067981004715; True;  
ID004_M015_J020; manne; 15; 20; False; nan; 880.0; nan; 6000; 3151; 1824; 1823; 17700; optimal; 0.03888893127441406; False;  
ID004_M015_J020; minla_fav; 15; 20; False; nan; 1053.3099174027288; nan; 120580; 54451; 26542; 276041; 565760; optimal; 410.714387178421; False;  
ID005_M015_J020; manne; 15; 20; True; 1078.9191192645364; 1497.0; 0.27927914544785276; 6000; 3151; 1789; 75242488; 17700; time limit exceeded; 3600.0117909908295; True;  
ID005_M015_J020; minla_fav; 15; 20; True; 1148.607042200986; 12309.0; 0.9066855924769619; 120580; 54451; 20250; 1002632; 565760; time limit exceeded; 3600.05979681015; True;  
ID005_M015_J020; manne; 15; 20; False; nan; 932.0; nan; 6000; 3151; 1938; 1937; 17700; optimal; 0.04229283332824707; False;  
ID005_M015_J020; minla_fav; 15; 20; False; nan; 1141.471565455905; nan; 120580; 54451; 28976; 364399; 565760; optimal; 470.7638530731201; False;  
ID006_M015_J020; manne; 15; 20; True; 1145.3576478622697; 1458.9999999939998; 0.21497076911103394; 6000; 3151; 1735; 72048946; 17700; time limit exceeded; 3600.0109148025513; True;  
ID006_M015_J020; minla_fav; 15; 20; True; 1111.3595206741; 12242.0; 0.9092174872835983; 120580; 54451; 17400; 806471; 565760; time limit exceeded; 3600.0643689632416; True;  
